outlet,organization,n_articles,vader_mean,anger,fear,joy,sadness
Everyday News,APA,2,-0.9693499999999999,0.07666487647690655,0.14084317937701396,0.04014500537056928,0.04014500537056928
International Times,APA,2,-0.9452499999999999,0.08277962347729789,0.15849944629014395,0.05952380952380952,0.06436877076411959
The Continent,APA,2,-0.935,0.07107843137254902,0.1437908496732026,0.03758169934640523,0.06004901960784313
World Journal,APA,2,-0.8302,0.0695438282647585,0.11381932021466905,0.03287119856887299,0.055903398926654746
World Source,APA,2,-0.90325,0.0719111969111969,0.138996138996139,0.06756756756756757,0.07384169884169883
All News Today,GAStech,7,-0.49245714285714287,0.055628623827505,0.12118051497005762,0.07471859959189074,0.08821463011276309
Athena Speaks,GAStech,15,-0.24598666666666666,0.078370747414778,0.160040893050797,0.05348238171045869,0.07987422092845822
Central Bulletin,GAStech,13,-0.49076153846153847,0.0820183335574714,0.15044144856876296,0.04872162485065711,0.10247112780815668
Centrum Sentinel,GAStech,20,-0.045399999999999996,0.04805491990846682,0.17741284824379788,0.08423913043478261,0.11079824066094089
Daily Pegasus,GAStech,11,-0.12038181818181816,0.06947782450398779,0.14525817368658275,0.051269425488353955,0.08150849330596477
Everyday News,GAStech,10,0.0016299999999999982,0.04935857928090141,0.12400039607136064,0.061035202211734696,0.061934631333569565
Homeland Illumination,GAStech,33,-0.2561,0.06055171084831037,0.1655541385849813,0.06673519511189924,0.10035368661774155
International News,GAStech,8,0.050574999999999995,0.08223942723942723,0.12891182891182892,0.1230050505050505,0.06116887741887742
International Times,GAStech,10,-0.02812,0.06089240944469845,0.1292556856290282,0.07710236416668055,0.06568242894600025
Kronos Star,GAStech,45,-0.2871288888888889,0.10391944655018837,0.20566771823233027,0.0950762042224067,0.13053344573043085
Modern Rubicon,GAStech,26,-0.2980153846153846,0.11430127049201384,0.23250651086473229,0.06393030964508044,0.10324587149510382
News Desk,GAStech,15,-0.33488666666666667,0.08159147304308595,0.1837143663286857,0.053651052897648085,0.0860496455378149
News Online Today,GAStech,44,-0.16017954545454546,0.1276910575007461,0.17228975385669099,0.13246309246309246,0.10081297243061949
Tethys News,GAStech,35,-0.4669,0.07985994397759104,0.19975277120968649,0.05076726342710997,0.12493871849682887
The Abila Post,GAStech,40,-0.3370175,0.10272445794796116,0.1823256170632733,0.06683165516654849,0.11760900678703877
The Continent,GAStech,10,-0.011720000000000019,0.06941817701517475,0.12630735833861256,0.061207340729023285,0.052638486203309874
The Explainer,GAStech,15,-0.24594666666666667,0.07229340049233417,0.15368403223570914,0.05505136150801422,0.0732648337436763
The General Post,GAStech,18,0.4481833333333333,0.055030956293386564,0.11816603364915558,0.07596654618865031,0.06238427604641526
The Guide,GAStech,11,0.37525454545454545,0.056955565450913584,0.11428371496574985,0.08378049524640048,0.05542787223291894
The Light of Truth,GAStech,18,0.38224444444444444,0.07636832201685011,0.11047806803052046,0.07581741052368952,0.05585489171654614
The Orb,GAStech,11,-0.38603636363636357,0.08529129752146046,0.13516529801247093,0.05272919703251968,0.07997567411475004
The Truth,GAStech,11,0.37783636363636364,0.09489161856082852,0.15434054806501007,0.08458741902853259,0.0521455905051316
The Tulip,GAStech,18,0.2067,0.05772684258316443,0.1097813794581036,0.07737511565097771,0.06026586245798068
The World,GAStech,16,0.30643125000000004,0.07535947147817858,0.09979840695699636,0.10287078196403138,0.06528409118330067
The Wrap,GAStech,11,-0.5147818181818182,0.0892076928154421,0.14324059662326757,0.05450401199047715,0.08209360941215693
Who What News,GAStech,14,0.07675000000000001,0.10986555163651535,0.1107457820749404,0.09975409685446884,0.0670291545329308
World Journal,GAStech,10,0.02419000000000001,0.065355216044083,0.1176173681306876,0.0639126463763017,0.056418157581916664
World Source,GAStech,6,0.017916666666666674,0.06084935574243083,0.14668762870899613,0.06064725761791782,0.0660464898339022
Worldwise,GAStech,11,0.14064545454545455,0.09306794554467476,0.15007083389591544,0.08153676631810274,0.06299371643279847
All News Today,POK,9,-0.4823111111111111,0.055190558497240694,0.10685544044745304,0.06173182630611414,0.07792251216288085
Athena Speaks,POK,11,-0.9543363636363636,0.11602089067864671,0.1896650890382743,0.030295858431576846,0.07418043297403333
Central Bulletin,POK,10,-0.9614,0.1075321780850957,0.18139684140141804,0.03723116298116298,0.0746456178111403
Centrum Sentinel,POK,1,0.9082,0.05,0.15,,0.05
Daily Pegasus,POK,13,-0.10169999999999998,0.0655799536224055,0.12678373183331992,0.052440685566454426,0.07745972486487404
Everyday News,POK,4,-0.9796750000000001,0.08053011466949213,0.18024835950751592,0.0354864395359406,0.05992548264336157
Homeland Illumination,POK,15,-0.5189,0.06990872511198533,0.12799274632653698,0.04821325832152839,0.0831055190388948
International News,POK,11,-0.8481545454545455,0.08936491747396277,0.17973187029917134,0.05552889732222701,0.06791483471614049
International Times,POK,4,-0.9626250000000001,0.0851984811394236,0.18586569489262267,0.03279904306220096,0.07595916323578503
Kronos Star,POK,17,-0.8312411764705883,0.09211354162898558,0.17756452419254512,0.04921279822827441,0.07345530715248758
Modern Rubicon,POK,2,-0.07589999999999997,0.185,0.2,,0.08
News Desk,POK,11,-0.9378636363636363,0.10807543439298294,0.1845775844773171,0.03078040792340328,0.06394001380456488
News Online Today,POK,36,-0.5671277777777778,0.11040516784422466,0.1768710445741077,0.06327022874169193,0.1134010896622321
Tethys News,POK,3,-0.6710666666666668,0.054411764705882354,0.17254901960784316,,0.0977124183006536
The Abila Post,POK,13,-0.8987846153846154,0.11535398385284404,0.17757913854501853,0.030786923605295186,0.07491568721187661
The Continent,POK,4,-0.962275,0.09462341812786235,0.19001161585177365,0.03957533777517798,0.06414964118075074
The Explainer,POK,11,-0.8923272727272727,0.10961807186807296,0.1916562269444654,0.02272348670906251,0.07338901028169847
The General Post,POK,1,-0.9938,0.1111111111111111,0.15873015873015872,0.031746031746031744,0.06349206349206349
The Guide,POK,13,-0.6634615384615384,0.08654162081194207,0.16912945612704788,0.051923778151240337,0.06315602930940213
The Light of Truth,POK,1,-0.9694,0.1111111111111111,0.1388888888888889,0.06944444444444445,0.041666666666666664
The Orb,POK,13,-0.277,0.08520454124891692,0.13313477382207517,0.04733946119055807,0.07147178908948017
The Truth,POK,14,-0.5776642857142856,0.12701235865498245,0.20020960485122283,0.0337372296066236,0.054873708755908406
The Tulip,POK,1,-0.9707,0.10256410256410256,0.14102564102564102,0.02564102564102564,0.038461538461538464
The Wrap,POK,13,-0.7467384615384615,0.08631039978146167,0.1423364547237701,0.04501487248170332,0.07708414419614652
Who What News,POK,1,-0.9789,0.1276595744680851,0.0851063829787234,0.06382978723404255,0.0425531914893617
World Journal,POK,4,-0.91855,0.09840119583619791,0.17345223693405695,0.0338403555502363,0.06796153064131918
World Source,POK,4,-0.9405749999999999,0.08412964954956056,0.17993079408541032,0.031896789405132006,0.0869558463412746
Worldwise,POK,14,-0.8218142857142857,0.11948819269115352,0.19732426593125374,0.04193193143997925,0.06253061831623014
